#Created as New Dataset	Sample 003 By PEService Date Tuesday	 April 30 2013
#cm-1	%T
3001.00	87.81
3000.00	87.81
2999.00	87.80
2998.00	87.79
2997.00	87.77
2996.00	87.74
2995.00	87.72
2994.00	87.69
2993.00	87.66
2992.00	87.63
2991.00	87.60
2990.00	87.56
2989.00	87.52
2988.00	87.48
2987.00	87.44
2986.00	87.39
2985.00	87.35
2984.00	87.31
2983.00	87.27
2982.00	87.22
2981.00	87.18
2980.00	87.13
2979.00	87.07
2978.00	87.01
2977.00	86.94
2976.00	86.88
2975.00	86.81
2974.00	86.74
2973.00	86.67
2972.00	86.59
2971.00	86.51
2970.00	86.44
2969.00	86.36
2968.00	86.28
2967.00	86.21
2966.00	86.15
2965.00	86.09
2964.00	86.05
2963.00	86.01
2962.00	85.98
2961.00	85.95
2960.00	85.92
2959.00	85.90
2958.00	85.88
2957.00	85.87
2956.00	85.86
2955.00	85.86
2954.00	85.87
2953.00	85.88
2952.00	85.89
2951.00	85.89
2950.00	85.90
2949.00	85.92
2948.00	85.93
2947.00	85.94
2946.00	85.96
2945.00	85.96
2944.00	85.96
2943.00	85.96
2942.00	85.94
2941.00	85.93
2940.00	85.91
2939.00	85.89
2938.00	85.87
2937.00	85.85
2936.00	85.83
2935.00	85.81
2934.00	85.79
2933.00	85.77
2932.00	85.74
2931.00	85.71
2930.00	85.69
2929.00	85.66
2928.00	85.62
2927.00	85.59
2926.00	85.56
2925.00	85.52
2924.00	85.49
2923.00	85.46
2922.00	85.44
2921.00	85.42
2920.00	85.40
2919.00	85.39
2918.00	85.39
2917.00	85.39
2916.00	85.41
2915.00	85.43
2914.00	85.46
2913.00	85.49
2912.00	85.52
2911.00	85.55
2910.00	85.57
2909.00	85.60
2908.00	85.62
2907.00	85.64
2906.00	85.66
2905.00	85.68
2904.00	85.70
2903.00	85.71
2902.00	85.73
2901.00	85.74
2900.00	85.75
2899.00	85.76
2898.00	85.77
2897.00	85.78
2896.00	85.79
2895.00	85.80
2894.00	85.81
2893.00	85.82
2892.00	85.83
2891.00	85.84
2890.00	85.84
2889.00	85.85
2888.00	85.86
2887.00	85.88
2886.00	85.89
2885.00	85.91
2884.00	85.92
2883.00	85.94
2882.00	85.96
2881.00	85.98
2880.00	86.01
2879.00	86.03
2878.00	86.05
2877.00	86.07
2876.00	86.09
2875.00	86.11
2874.00	86.13
2873.00	86.15
2872.00	86.18
2871.00	86.21
2870.00	86.23
2869.00	86.26
2868.00	86.29
2867.00	86.31
2866.00	86.34
2865.00	86.36
2864.00	86.39
2863.00	86.41
2862.00	86.44
2861.00	86.46
2860.00	86.49
2859.00	86.51
2858.00	86.53
2857.00	86.54
2856.00	86.55
2855.00	86.56
2854.00	86.57
2853.00	86.59
2852.00	86.61
2851.00	86.63
2850.00	86.66
2849.00	86.70
2848.00	86.74
2847.00	86.80
2846.00	86.86
2845.00	86.91
2844.00	86.97
2843.00	87.02
2842.00	87.07
2841.00	87.12
2840.00	87.16
2839.00	87.20
2838.00	87.24
2837.00	87.28
2836.00	87.32
2835.00	87.36
2834.00	87.39
2833.00	87.43
2832.00	87.45
2831.00	87.48
2830.00	87.52
2829.00	87.55
2828.00	87.59
2827.00	87.63
2826.00	87.68
2825.00	87.72
2824.00	87.76
2823.00	87.80
2822.00	87.84
2821.00	87.88
2820.00	87.92
2819.00	87.96
2818.00	88.00
2817.00	88.04
2816.00	88.09
2815.00	88.14
2814.00	88.18
2813.00	88.23
2812.00	88.27
2811.00	88.32
2810.00	88.37
2809.00	88.41
2808.00	88.46
2807.00	88.51
2806.00	88.56
2805.00	88.61
2804.00	88.66
2803.00	88.71
2802.00	88.76
2801.00	88.81
2800.00	88.86
2799.00	88.91
2798.00	88.96
2797.00	89.01
2796.00	89.06
2795.00	89.11
2794.00	89.17
2793.00	89.22
2792.00	89.27
2791.00	89.32
2790.00	89.37
2789.00	89.42
2788.00	89.47
2787.00	89.51
2786.00	89.56
2785.00	89.61
2784.00	89.66
2783.00	89.71
2782.00	89.76
2781.00	89.80
2780.00	89.85
2779.00	89.90
2778.00	89.94
2777.00	89.99
2776.00	90.04
2775.00	90.08
2774.00	90.13
2773.00	90.17
2772.00	90.21
2771.00	90.25
2770.00	90.29
2769.00	90.33
2768.00	90.37
2767.00	90.41
2766.00	90.45
2765.00	90.48
2764.00	90.52
2763.00	90.56
2762.00	90.60
2761.00	90.64
2760.00	90.68
2759.00	90.72
2758.00	90.76
2757.00	90.80
2756.00	90.84
2755.00	90.87
2754.00	90.91
2753.00	90.95
2752.00	90.99
2751.00	91.03
2750.00	91.08
2749.00	91.12
2748.00	91.17
2747.00	91.21
2746.00	91.25
2745.00	91.29
2744.00	91.33
2743.00	91.37
2742.00	91.40
2741.00	91.44
2740.00	91.48
2739.00	91.52
2738.00	91.56
2737.00	91.60
2736.00	91.64
2735.00	91.68
2734.00	91.72
2733.00	91.76
2732.00	91.79
2731.00	91.82
2730.00	91.86
2729.00	91.89
2728.00	91.93
2727.00	91.96
2726.00	91.99
2725.00	92.02
2724.00	92.05
2723.00	92.08
2722.00	92.11
2721.00	92.14
2720.00	92.17
2719.00	92.20
2718.00	92.23
2717.00	92.26
2716.00	92.28
2715.00	92.30
2714.00	92.33
2713.00	92.35
2712.00	92.38
2711.00	92.40
2710.00	92.42
2709.00	92.43
2708.00	92.45
2707.00	92.47
2706.00	92.49
2705.00	92.50
2704.00	92.52
2703.00	92.54
2702.00	92.56
2701.00	92.59
2700.00	92.61
2699.00	92.62
2698.00	92.64
2697.00	92.65
2696.00	92.67
2695.00	92.68
2694.00	92.70
2693.00	92.72
2692.00	92.73
2691.00	92.75
2690.00	92.76
2689.00	92.78
2688.00	92.79
2687.00	92.80
2686.00	92.81
2685.00	92.83
2684.00	92.84
2683.00	92.86
2682.00	92.87
2681.00	92.88
2680.00	92.90
2679.00	92.91
2678.00	92.92
2677.00	92.94
2676.00	92.95
2675.00	92.97
2674.00	92.99
2673.00	93.00
2672.00	93.01
2671.00	93.03
2670.00	93.04
2669.00	93.05
2668.00	93.06
2667.00	93.08
2666.00	93.09
2665.00	93.11
2664.00	93.12
2663.00	93.13
2662.00	93.14
2661.00	93.16
2660.00	93.17
2659.00	93.19
2658.00	93.21
2657.00	93.22
2656.00	93.24
2655.00	93.26
2654.00	93.27
2653.00	93.29
2652.00	93.30
2651.00	93.32
2650.00	93.34
2649.00	93.36
2648.00	93.38
2647.00	93.39
2646.00	93.40
2645.00	93.41
2644.00	93.42
2643.00	93.44
2642.00	93.45
2641.00	93.46
2640.00	93.47
2639.00	93.48
2638.00	93.50
2637.00	93.51
2636.00	93.53
2635.00	93.54
2634.00	93.56
2633.00	93.57
2632.00	93.59
2631.00	93.60
2630.00	93.61
2629.00	93.62
2628.00	93.62
2627.00	93.63
2626.00	93.63
2625.00	93.63
2624.00	93.64
2623.00	93.64
2622.00	93.65
2621.00	93.65
2620.00	93.66
2619.00	93.66
2618.00	93.66
2617.00	93.66
2616.00	93.66
2615.00	93.66
2614.00	93.66
2613.00	93.67
2612.00	93.67
2611.00	93.68
2610.00	93.68
2609.00	93.67
2608.00	93.67
2607.00	93.66
2606.00	93.65
2605.00	93.64
2604.00	93.63
2603.00	93.62
2602.00	93.61
2601.00	93.61
2600.00	93.61
2599.00	93.60
2598.00	93.60
2597.00	93.59
2596.00	93.58
2595.00	93.56
2594.00	93.55
2593.00	93.54
2592.00	93.53
2591.00	93.52
2590.00	93.51
2589.00	93.49
2588.00	93.47
2587.00	93.45
2586.00	93.43
2585.00	93.41
2584.00	93.40
2583.00	93.39
2582.00	93.38
2581.00	93.37
2580.00	93.36
2579.00	93.34
2578.00	93.33
2577.00	93.31
2576.00	93.30
2575.00	93.28
2574.00	93.27
2573.00	93.26
2572.00	93.25
2571.00	93.24
2570.00	93.23
2569.00	93.22
2568.00	93.21
2567.00	93.19
2566.00	93.18
2565.00	93.17
2564.00	93.16
2563.00	93.16
2562.00	93.16
2561.00	93.16
2560.00	93.16
2559.00	93.16
2558.00	93.16
2557.00	93.17
2556.00	93.18
2555.00	93.20
2554.00	93.21
2553.00	93.23
2552.00	93.25
2551.00	93.26
2550.00	93.28
2549.00	93.30
2548.00	93.32
2547.00	93.35
2546.00	93.37
2545.00	93.40
2544.00	93.43
2543.00	93.46
2542.00	93.49
2541.00	93.51
2540.00	93.54
2539.00	93.56
2538.00	93.59
2537.00	93.62
2536.00	93.65
2535.00	93.67
2534.00	93.70
2533.00	93.73
2532.00	93.75
2531.00	93.78
2530.00	93.81
2529.00	93.84
2528.00	93.87
2527.00	93.90
2526.00	93.93
2525.00	93.96
2524.00	93.99
2523.00	94.02
2522.00	94.04
2521.00	94.07
2520.00	94.09
2519.00	94.11
2518.00	94.13
2517.00	94.15
2516.00	94.17
2515.00	94.19
2514.00	94.21
2513.00	94.23
2512.00	94.25
2511.00	94.28
2510.00	94.30
2509.00	94.32
2508.00	94.34
2507.00	94.36
2506.00	94.38
2505.00	94.39
2504.00	94.40
2503.00	94.40
2502.00	94.41
2501.00	94.42
2500.00	94.43
2499.00	94.44
2498.00	94.45
2497.00	94.46
2496.00	94.46
2495.00	94.47
2494.00	94.47
2493.00	94.48
2492.00	94.48
2491.00	94.49
2490.00	94.50
2489.00	94.51
2488.00	94.52
2487.00	94.54
2486.00	94.56
2485.00	94.58
2484.00	94.60
2483.00	94.62
2482.00	94.64
2481.00	94.66
2480.00	94.69
2479.00	94.71
2478.00	94.73
2477.00	94.76
2476.00	94.78
